Value,Percentile
5096.00, 0.003444
5261.71, 0.007068
5432.81, 0.010887
5609.48, 0.014940
5791.88, 0.019211
5980.22, 0.023686
6174.69, 0.028155
6375.47, 0.032302
6582.79, 0.036130
6796.85, 0.039629
7017.86, 0.042811
7246.07, 0.045739
7481.69, 0.048715
7724.98, 0.052856
7976.18, 0.058209
8235.55, 0.064774
8503.35, 0.072567
8779.86, 0.081421
9065.36, 0.091379
9360.14, 0.100544
9664.51, 0.107488
9978.78, 0.112962
10303.27, 0.116955
10638.31, 0.119470
10984.24, 0.120772
11341.42, 0.121888
11710.22, 0.123172
12091.01, 0.124636
12484.18, 0.126290
12890.14, 0.128131
13309.30, 0.130164
13742.08, 0.132351
14188.95, 0.134697
14650.34, 0.137166
15126.73, 0.139754
15618.62, 0.142458
16126.50, 0.145280
16650.90, 0.148695
17192.35, 0.153209
17751.40, 0.158896
18328.64, 0.165716
18924.64, 0.173713
19540.03, 0.182739
20175.43, 0.192434
20831.49, 0.201562
21508.88, 0.210057
22208.30, 0.217996
22930.46, 0.225403
23676.11, 0.232270
24446.00, 0.238875
25240.93, 0.245706
26061.70, 0.252827
26909.17, 0.260302
27784.20, 0.268098
28687.68, 0.276133
29620.53, 0.284416
30583.72, 0.292017
31578.24, 0.298743
32605.09, 0.304604
33665.33, 0.309564
34760.05, 0.313750
35890.37, 0.317279
37057.44, 0.321589
38262.47, 0.327470
39506.67, 0.334873
40791.34, 0.343792
42117.78, 0.354197
43487.35, 0.365848
44901.46, 0.377580
46361.56, 0.387647
47869.13, 0.396287
49425.72, 0.403478
51032.93, 0.409229
52692.41, 0.413798
54405.85, 0.417755
56175.00, 0.423244
58001.68, 0.430113
59887.76, 0.438362
61835.18, 0.447990
63845.92, 0.458788
65922.04, 0.470315
68065.67, 0.480106
70279.01, 0.488512
72564.33, 0.495238
74923.95, 0.500283
77360.31, 0.503645
79875.89, 0.505861
82473.27, 0.508109
85155.11, 0.510452
87924.16, 0.512904
90783.25, 0.515471
93735.32, 0.518132
96783.37, 0.520886
99930.55, 0.523648
103180.06, 0.526399
106535.24, 0.529128
109999.52, 0.531834
113576.45, 0.534515
117269.70, 0.537170
121083.04, 0.539803
125020.39, 0.542413
129085.76, 0.545002
133283.34, 0.547569
137617.41, 0.550099
142092.41, 0.552581
146712.93, 0.554975
151483.70, 0.557241
156409.60, 0.559326
161495.69, 0.561221
166747.16, 0.562992
172169.39, 0.564638
177767.95, 0.566161
183548.55, 0.567658
189517.13, 0.569125
195679.80, 0.570556
202042.85, 0.571952
208612.83, 0.573333
215396.44, 0.574698
222400.64, 0.576179
229632.60, 0.577796
237099.72, 0.579603
244809.67, 0.581607
252770.32, 0.583747
260989.83, 0.586027
269476.62, 0.588334
278239.38, 0.590664
287287.09, 0.593006
296629.01, 0.595358
306274.71, 0.597713
316234.06, 0.600069
326517.27, 0.602422
337134.86, 0.604770
348097.72, 0.607110
359417.06, 0.609438
371104.48, 0.611779
383171.95, 0.614140
395631.82, 0.616609
408496.87, 0.619265
421780.25, 0.622156
435495.58, 0.625299
449656.90, 0.628695
464278.71, 0.632241
479375.99, 0.635851
494964.20, 0.639323
511059.31, 0.642559
527677.79, 0.645579
544836.66, 0.648410
562553.50, 0.651060
580846.46, 0.653598
599734.25, 0.656093
619236.24, 0.658545
639372.39, 0.660955
660163.31, 0.663327
681630.31, 0.665664
703795.37, 0.667983
726681.19, 0.670325
750311.20, 0.672693
774709.60, 0.675097
799901.39, 0.677540
825912.35, 0.680037
852769.13, 0.682609
880499.23, 0.685449
909131.05, 0.688647
938693.91, 0.692223
969218.09, 0.696163
1000734.85, 0.700445
1033276.45, 0.705060
1066876.24, 0.709698
1101568.62, 0.714298
1137389.11, 0.718817
1174374.40, 0.723245
1212562.37, 0.727576
1251992.12, 0.731809
1292704.04, 0.735867
1334739.82, 0.739733
1378142.51, 0.743519
1422956.55, 0.747204
1469227.84, 0.750706
1517003.77, 0.754061
1566333.26, 0.757302
1617266.83, 0.760530
1669856.65, 0.763766
1724156.57, 0.767013
1780222.20, 0.770272
1838110.95, 0.773583
1897882.11, 0.776960
1959596.90, 0.780713
2023318.51, 0.784875
2089112.20, 0.789504
2157045.35, 0.794575
2227187.53, 0.800117
2299610.57, 0.805970
2374388.65, 0.811674
2451598.33, 0.816989
2531318.70, 0.821982
2613631.39, 0.826624
2698620.71, 0.830918
2786373.68, 0.834912
2876980.18, 0.838679
2970532.99, 0.842280
3067127.93, 0.845757
3166863.91, 0.849080
3269843.08, 0.852253
3376170.90, 0.855365
3485956.26, 0.858469
3599311.58, 0.861726
3716352.96, 0.865135
3837200.25, 0.868669
3961977.23, 0.872338
4090811.66, 0.876169
4223835.50, 0.880140
4361184.97, 0.884144
4503000.73, 0.888180
4649428.01, 0.892236
4800616.77, 0.896311
4956721.85, 0.900374
5117903.10, 0.904419
5284325.60, 0.908336
5456159.78, 0.912121
5633581.62, 0.915766
5816772.81, 0.919266
6005920.95, 0.922653
6201219.76, 0.925924
6402869.24, 0.929170
6611075.90, 0.932397
6826052.97, 0.935618
7048020.59, 0.938836
7277206.10, 0.942046
7513844.20, 0.945246
7758177.22, 0.948404
8010455.40, 0.951512
8270937.08, 0.954564
8539889.03, 0.957559
8817586.69, 0.960489
9104314.44, 0.963351
9400365.91, 0.966116
9706044.31, 0.968765
10021662.67, 0.971295
10347544.21, 0.973703
10684022.68, 0.975990
11031442.65, 0.978154
11390159.93, 0.980198
11760541.88, 0.982125
12142967.80, 0.983935
12537829.33, 0.985628
12945530.86, 0.987203
13366489.91, 0.988661
13801137.58, 0.990006
14249919.00, 0.991245
14713293.77, 0.992378
15191736.43, 0.993405
15685736.94, 0.994326
16195801.22, 0.995148
16722451.63, 0.995877
17266227.50, 0.996536
17827685.72, 0.997125
18407401.28, 0.997650
19005967.86, 0.998108
19623998.46, 0.998494
20262125.99, 0.998813
20921003.98, 0.999092
21601307.17, 0.999331
22303732.26, 0.999542
23028998.61, 0.999723
23777848.97, 0.999877
24551050.22, 1.000000
