Value,Percentile
52.4483, 0.0027778
73.5457, 0.020602
73.5457, 0.0027778
83.1867, 0.020755
93.7421, 0.020755
105.636, 0.020755
119.04, 0.020755
134.144, 0.020755
147.21, 0.036806
147.63, 0.020953
164.884, 0.036981
185.805, 0.037071
209.377, 0.039768
235.94, 0.040038
261.581, 0.040038
275.671, 0.041258
284.59, 0.044160
284.59, 0.052140
341.32, 0.053882
347.914, 0.17707
350.095, 0.18418
378.921, 0.18384
391.414, 0.18781
451.768, 0.18926
459.018, 0.19797
489.236, 0.20377
495.913, 0.26154
499.139, 0.27571
521.431, 0.28212
548.608, 0.28851
565.135, 0.29566
574.413, 0.30459
651.745, 0.30679
676.516, 0.31488
710.4, 0.32669
728.658, 0.35322
728.812, 0.33592
836.076, 0.35747
882.196, 0.36193
933.243, 0.36738
1029.94, 0.37585
1116.16, 0.38809
1201.36, 0.39847
1340.93, 0.40435
1498.32, 0.41411
1634.51, 0.42311
1837.26, 0.42776
2059.88, 0.43559
2317.11, 0.44074
2654.21, 0.44671
2962.64, 0.45217
3338.55, 0.45559
3762.18, 0.45905
4239.46, 0.46193
4777.37, 0.46462
5383.58, 0.46736
6066.59, 0.46997
6836.33, 0.47244
7703.76, 0.47465
8681.27, 0.47640
9782.68, 0.47811
11024.4, 0.47982
12423.2, 0.48179
13999.1, 0.48516
15774.7, 0.48894
17699.8, 0.49279
23963.6, 0.49536
30164, 0.50025
33736.7, 0.50246
38017, 0.50562
42841.1, 0.50854
48276.5, 0.51137
54402, 0.51474
61304.8, 0.51811
69083.1, 0.52130
77848.6, 0.52476
87726.1, 0.52840
99602.4, 0.53185
111401, 0.53566
125532, 0.54220
141466, 0.55225
158996, 0.56249
176947, 0.57359
194642, 0.58570
217948, 0.60033
239462, 0.61355
260239, 0.62639
283044, 0.63728
306872, 0.64807
338012, 0.65824
376893, 0.66875
423619, 0.67815
475300, 0.68540
535316, 0.69067
591155, 0.69870
670157, 0.70023
746056, 0.70290
848804, 0.70465
956508, 0.70505
1077860, 0.70586
1214670, 0.70604
1368780, 0.70640
1542450, 0.70940
1669020, 0.72183
1747560, 0.73497
1781560, 0.74897
1849750, 0.76251
1931776, 0.77603
1986760, 0.79065
2064690, 0.80492
2161152, 0.81748
2305130, 0.83440
2421560, 0.84612
2491392, 0.85928
2546070, 0.87175
2631168, 0.88368
2767872, 0.89509
2827776, 0.90979
2851940, 0.92448
2943180, 0.93859
3007800, 0.95128
3090530, 0.96414
3227750, 0.97749
3520720, 0.98796
3967390, 0.99108
4519630, 0.99232
6092490, 0.99331
7401680, 0.99602
9704550, 0.99747
48520192, 0.99820
