Value,Percentile
46.7999, 0.0018868
54.5362, 0.0046204
68.2516, 0.0054891
154.511, 0.0056604
164.577, 0.014789
182.456, 0.016439
201.687, 0.017221
231.629, 0.023665
251.208, 0.029469
267.561, 0.042932
272.241, 0.056512
299.735, 0.061297
331.428, 0.069811
331.428, 0.10302
334.1, 0.17672
334.418, 0.15881
357.632, 0.18003
359.578, 0.20242
371.558, 0.20855
373.33, 0.24327
373.33, 0.23372
373.33, 0.22416
373.33, 0.21461
374.159, 0.26282
434.944, 0.26790
444.539, 0.27715
456.202, 0.18235
457.585, 0.29243
462.787, 0.21600
488.96, 0.30214
492.411, 0.32515
492.882, 0.33857
525.906, 0.34864
552.776, 0.35634
556.247, 0.39808
557.619, 0.36988
584.796, 0.40623
593.869, 0.46736
594.739, 0.49046
598.856, 0.47659
604.539, 0.50424
607.488, 0.56209
607.488, 0.55254
607.488, 0.54298
607.488, 0.53343
607.488, 0.52387
608.87, 0.57591
615.004, 0.60924
657.705, 0.61669
661.842, 0.66089
707.574, 0.68636
718.029, 0.69747
769.587, 0.70634
779.561, 0.73809
820.613, 0.74472
827.924, 0.77710
828.18, 0.75612
897.157, 0.78450
932.936, 0.79841
1021.56, 0.80854
1086.87, 0.81815
1186.41, 0.82672
1324.44, 0.84715
1449.57, 0.85503
1569.08, 0.86467
1683.56, 0.87377
1694.41, 0.89023
1876.38, 0.89718
2223.1, 0.90247
2489.45, 0.90619
3060.63, 0.91358
3494.91, 0.91660
4178.53, 0.91922
4641.18, 0.92036
5155.12, 0.92351
5777.1, 0.92704
6359.86, 0.92936
7084.34, 0.93266
7812.61, 0.93867
8714.96, 0.94503
9718.48, 0.94695
10752, 0.94586
11844.6, 0.94735
13324.3, 0.94700
14748.7, 0.94770
16435.2, 0.94895
25146.4, 0.95231
34457.6, 0.95281
166769, 0.95736
541553, 0.96340
1247850, 0.98238
1540096, 0.98302
1709980, 0.98696
1881190, 0.98886
2255460, 0.99208
3899392, 0.99509
8645940, 0.99811
565422080, 0.99922
